sale_id,sale_reference,product_id,customer_id,employee_id,quantity,sale_date,state,town,method_of_payment
74,7a9494c6,127,444,13,2,8/27/2025 5:51,Tennessee,Sullivanfort,Mobile Payment
75,d5d6449f,76,40,7,3,11/28/2022 10:16,Texas,East Valerie,Credit Card
76,d4812239,5,458,2,5,11/2/2021 11:20,South Dakota,New Danielberg,Mobile Payment
77,b658cdd0,56,23,5,1,1/17/2025 8:20,Nebraska,Cherylside,Cash
78,9fde9f94,140,176,4,1,4/27/2023 5:47,Virginia,Port Heatherberg,Credit Card
79,a148ec02,12,225,6,4,7/29/2024 8:57,Virginia,West Kyleland,Cash
80,67cd6ccf,143,140,2,2,11/30/2020 14:55,Virginia,Roberthaven,Debit Card
81,292d4990,70,237,9,4,11/1/2023 8:48,Kansas,South Elizabeth,Debit Card
82,84064611,54,29,15,1,6/23/2021 22:43,Florida,New Robert,Debit Card
83,1041624d,81,402,2,4,4/7/2025 0:36,South Dakota,West Michael,Cash
84,43d95eb2,117,146,8,5,7/15/2025 22:00,Massachusetts,North Dakota,Credit Card
85,280a3b66,138,437,1,1,2/12/2021 23:58,Kentucky,Barbaraside,Debit Card
86,bcce375a,72,100,1,1,11/28/2024 21:33,Oregon,Watsonburgh,Cash
87,87530509,117,225,13,5,7/30/2022 6:58,Louisiana,Brownchester,Debit Card
88,aacb5956,22,254,2,1,1/14/2020 14:08,Georgia,Rileybury,Credit Card
89,a31b8585,11,426,2,5,6/7/2020 17:26,Arizona,Timothyside,Credit Card
90,84d8acec,44,361,12,5,4/16/2022 7:45,Ohio,Russellfurt,Mobile Payment
91,66d27a01,88,187,6,5,2/25/2022 20:49,Mississippi,Karenberg,Credit Card
92,1f741c7d,77,331,2,4,3/18/2021 13:58,Missouri,West Nicholasside,Credit Card
93,a771abc5,3,120,11,5,6/6/2022 9:57,Connecticut,Juanmouth,Cash
94,f6d26f1f,29,445,10,2,10/31/2022 22:34,South Carolina,North Garychester,Mobile Payment
95,cd31ae63,71,198,5,3,8/7/2020 1:29,Maryland,Port Lori,Credit Card
96,7b17c8ac,125,433,3,4,7/22/2021 2:30,Mississippi,New Jonathan,Debit Card
97,d4120b21,121,162,13,2,3/16/2023 7:38,North Dakota,Reedtown,Mobile Payment
98,2d9f6625,72,39,7,1,4/3/2020 3:27,Missouri,Smithview,Cash
99,bd236092,95,258,13,1,1/27/2025 22:30,California,New Daniellebury,Mobile Payment
100,131b3962,121,323,9,2,10/19/2020 4:03,Florida,Lake Deborahland,Credit Card
101,cfaae99f,28,277,7,2,4/12/2025 5:11,New Mexico,Ronnieshire,Cash
102,7759708a,145,52,6,4,11/1/2024 15:08,Michigan,East Jeffreyborough,Cash
103,4d013321,21,329,1,4,5/15/2021 12:43,Connecticut,East Joseph,Mobile Payment
104,ae4b3020,98,324,15,2,4/25/2022 20:30,Oklahoma,Stonestad,Credit Card
105,7884ea44,50,112,8,2,7/10/2024 18:16,North Carolina,Castilloton,Mobile Payment
106,b7fd8db6,61,203,2,2,7/14/2024 2:09,Oregon,Tracyburgh,Cash
107,4ad093f7,52,290,8,1,2/18/2021 0:25,Georgia,Lewismouth,Credit Card
108,2a66eea4,86,163,12,2,8/25/2023 18:39,Arkansas,Meyersmouth,Credit Card
109,3ee7324d,92,439,2,1,4/6/2024 0:17,North Carolina,Justinshire,Mobile Payment
110,152936dc,55,111,8,5,6/12/2024 10:15,Virginia,Whiteburgh,Cash
111,78274a80,108,299,9,5,1/8/2022 19:58,Wisconsin,Cunninghamchester,Mobile Payment
112,99558a49,90,432,5,1,6/11/2025 18:51,Tennessee,Griffinfurt,Debit Card
113,0483e816,32,198,12,5,1/30/2020 16:56,California,Kramerville,Cash
114,b4419ecb,62,52,11,5,8/26/2020 0:14,Nevada,Port Samuelshire,Mobile Payment
115,118f7546,42,379,2,1,1/27/2023 10:11,Utah,East Melissa,Cash
116,ea84e095,42,93,13,2,6/15/2021 2:21,Connecticut,Port Jeremy,Debit Card
117,d2fe38bc,3,310,9,2,5/24/2022 16:05,New Hampshire,East Stephentown,Credit Card
118,0f850de8,128,40,1,4,8/6/2021 18:12,Arkansas,West Katherineshire,Credit Card
119,a7bb2de8,43,291,11,5,9/29/2023 21:30,Connecticut,Crawfordland,Mobile Payment
120,097246b6,75,271,13,2,7/20/2020 23:09,Pennsylvania,Martinezville,Debit Card
121,03580c49,119,491,11,2,7/2/2023 15:43,Maryland,Benitezburgh,Cash
122,ca28431f,23,495,12,5,12/31/2020 10:36,New Jersey,West Erinstad,Debit Card
123,fa65c3bb,8,167,14,1,9/28/2021 6:35,Maryland,Walkerstad,Cash
124,c94212d8,122,182,9,4,10/9/2021 5:21,Pennsylvania,Port Dianaborough,Mobile Payment
125,3cec6813,56,331,15,5,12/23/2024 16:55,Delaware,Spencerfurt,Credit Card
126,d5fd6d49,123,36,4,5,4/9/2022 21:48,Utah,West Heathermouth,Cash
127,851e8094,88,452,7,3,5/12/2021 6:11,Connecticut,Waltonchester,Mobile Payment
128,ee8533d4,144,262,5,1,8/27/2024 13:59,Indiana,Bensonfort,Cash
129,da31aa94,133,121,11,3,8/6/2023 13:20,Maine,West Tyler,Mobile Payment
130,7e0e7695,135,202,9,4,1/22/2022 9:49,Washington,Jonesland,Mobile Payment
131,17b13105,14,13,11,5,9/13/2023 7:33,Montana,North Amandastad,Credit Card
132,5953f7a4,71,182,8,3,2/16/2022 6:42,New Hampshire,Taraburgh,Cash
133,3b07441e,78,431,6,3,10/7/2022 10:46,Mississippi,Lake Lauramouth,Debit Card
134,eea02563,86,369,2,5,10/5/2023 4:58,New Mexico,Cynthiaside,Debit Card
135,9b53801e,77,36,14,5,12/23/2022 2:40,Nebraska,Jorgechester,Mobile Payment
136,6699c698,32,98,13,1,8/21/2021 20:30,Maryland,Veronicahaven,Cash
137,43d81455,105,336,12,3,3/17/2020 22:56,Maine,Coxland,Credit Card
138,9b8d8895,114,423,6,1,8/14/2025 14:52,Oregon,Hayneschester,Cash
139,057e21d5,95,279,4,2,11/25/2025 6:57,South Dakota,Port Carolineborough,Debit Card
140,1dd64500,114,113,2,5,5/12/2022 13:01,West Virginia,West Caleb,Debit Card
141,9d6af168,18,414,12,2,2/27/2022 8:17,Alabama,West Brian,Mobile Payment
142,4800f808,81,43,9,1,9/7/2025 20:44,Alaska,Houseshire,Debit Card
143,a410c47e,60,192,12,3,6/12/2021 12:02,North Dakota,New Jacquelineborough,Credit Card
144,c885d1ad,86,428,6,2,11/8/2024 10:53,Missouri,New Alfredstad,Cash
145,8ad6db34,101,135,6,3,12/2/2021 1:22,California,Katherinemouth,Mobile Payment
146,e2f3e85e,68,162,9,1,7/7/2025 16:44,Arkansas,Hamiltonshire,Mobile Payment
147,4f8dbca4,56,138,4,3,9/4/2023 21:08,West Virginia,Wrightfort,Debit Card
148,fb4b0d02,95,461,4,5,4/5/2025 6:51,Texas,East Eric,Debit Card
149,ddb1f19c,70,491,4,4,1/25/2021 13:47,Alabama,Fernandeztown,Mobile Payment
150,0757d011,125,290,14,4,3/10/2020 17:54,Nevada,Josephport,Cash
151,6259c858,47,492,15,1,1/12/2024 3:33,Kentucky,Andersonmouth,Debit Card
152,66b5bc3a,47,386,10,4,4/6/2021 3:31,North Dakota,Lake Davidtown,Debit Card
153,94147263,43,466,4,3,1/23/2021 23:39,Ohio,Port Christopherfort,Mobile Payment
154,23124220,141,417,6,1,8/8/2020 0:22,Florida,Port Kimberly,Mobile Payment
155,8df18186,149,214,11,5,1/20/2025 13:42,Mississippi,Woodshire,Mobile Payment
156,1992565b,147,185,9,1,7/20/2023 11:55,North Carolina,North Calebfurt,Credit Card
157,5e4427a6,96,427,8,5,4/25/2024 9:38,Kentucky,East Robert,Debit Card
158,de6856d4,33,389,10,2,5/27/2022 2:11,Delaware,North Angela,Mobile Payment
159,19b67b1d,85,429,8,5,3/31/2024 2:44,Georgia,Suareztown,Debit Card
160,33a3c383,44,53,15,5,5/1/2024 18:49,Minnesota,Carlychester,Cash
161,7e8da12f,141,118,9,4,8/21/2022 4:25,South Dakota,New Nancy,Mobile Payment
162,c88981e5,66,227,11,4,3/27/2021 3:37,Mississippi,Morganfurt,Debit Card
163,cef4acaf,50,78,3,1,4/28/2021 7:27,Minnesota,Gregorychester,Mobile Payment
164,30a997b6,65,315,15,4,5/31/2022 10:42,Indiana,Lake Lesliefurt,Cash
165,21131be6,5,283,13,4,9/5/2020 15:08,Colorado,East Brandon,Debit Card
166,057e9133,102,308,7,3,7/26/2020 14:27,Georgia,Dawnchester,Mobile Payment
167,8ac14565,51,124,5,3,3/24/2025 16:35,Alabama,New Michael,Cash
168,a1c15965,50,445,1,4,10/6/2020 3:54,Montana,Toddberg,Mobile Payment
169,9fed8e96,148,100,12,3,8/26/2025 19:36,Kentucky,Port Daniel,Mobile Payment
170,2914cdaf,11,452,10,5,10/19/2023 22:53,South Dakota,Port Lori,Cash
171,d1224c07,119,427,5,1,9/29/2024 1:01,Idaho,Meadowstown,Credit Card
172,09eb8cb7,67,336,13,4,1/21/2020 4:53,Maryland,Hannahport,Credit Card
173,5da0ddd0,49,71,5,2,10/30/2022 5:15,Oregon,Port Edwardberg,Cash
174,43f7b451,32,98,3,2,10/18/2022 19:30,Rhode Island,South Coreytown,Mobile Payment
175,403fbc8b,143,294,1,2,2/3/2020 7:21,Oklahoma,Jessicaberg,Cash
176,19297b0b,60,317,3,1,12/13/2025 7:40,Hawaii,New Jennifer,Cash
177,8c42fa8e,16,482,15,4,12/7/2025 9:30,New York,Anitaville,Mobile Payment
178,c4446072,5,48,13,3,4/12/2023 15:31,Michigan,North Ryan,Debit Card
179,932a31ec,95,42,10,4,9/11/2020 2:16,Washington,Austinbury,Debit Card
180,5df33355,81,383,4,5,3/15/2024 12:24,Michigan,Hoodberg,Debit Card
181,704d2325,34,333,9,4,6/11/2024 20:09,Washington,New William,Mobile Payment
182,8fd58137,20,242,6,3,9/6/2020 23:10,South Dakota,Reynoldston,Credit Card
183,2691772f,147,348,7,2,6/27/2024 4:42,Wisconsin,Gibsonchester,Debit Card
184,beb165f2,117,41,2,2,3/8/2021 23:16,New York,North Lisa,Mobile Payment
185,ecca9e3c,143,403,9,5,1/12/2021 12:55,New York,Pinedachester,Mobile Payment
186,5ac5104d,49,360,4,2,9/26/2022 1:10,Vermont,Lake Wesley,Mobile Payment
187,67a57a9d,29,471,11,3,1/31/2022 8:27,Utah,East Sarahview,Cash
188,ccc02b5d,102,443,13,2,6/20/2021 5:49,South Carolina,East Diane,Cash
189,37ad1a99,93,415,10,2,4/27/2020 9:57,Kentucky,East Cindyton,Debit Card
190,8de98767,64,117,10,2,8/7/2023 2:46,Minnesota,Port Laura,Credit Card
191,b4d59ad9,44,350,5,4,5/20/2024 15:09,Arizona,West Juantown,Mobile Payment
192,32d9fb8e,97,331,12,3,10/25/2022 21:21,Hawaii,Savannahstad,Credit Card
193,0d6687c1,27,430,6,3,11/20/2020 10:45,Vermont,Santiagoborough,Credit Card
194,1afe3779,36,56,8,3,1/2/2023 6:27,South Dakota,North Emily,Debit Card
195,a1371851,97,339,8,2,10/24/2024 14:17,Colorado,West Joshuafort,Debit Card
196,27edacf8,144,108,7,3,7/5/2020 17:43,Wisconsin,Dannychester,Cash
197,f4ab9629,123,211,12,2,5/19/2020 14:34,North Carolina,Michellechester,Cash
198,85d84940,57,265,12,1,10/18/2023 18:53,Vermont,Bradleyville,Cash
199,e0ee0485,123,200,14,2,10/26/2022 9:06,Arizona,West Garystad,Credit Card
200,b110d72c,100,325,12,5,8/23/2022 2:21,North Carolina,Deborahview,Credit Card
201,0267aacc,95,193,4,5,4/19/2021 8:34,Texas,South Micheleburgh,Cash
202,de478776,36,476,5,3,10/8/2025 14:57,South Dakota,Jennifermouth,Cash
203,337a35a4,97,145,1,1,4/12/2020 17:43,Kansas,Marthamouth,Credit Card
204,dce2c6a0,70,98,8,5,11/5/2024 22:34,Arizona,North Matthew,Cash
205,7b9e90ce,79,430,1,5,6/11/2020 22:53,Colorado,West Brendastad,Cash
206,649f5a33,105,361,9,2,5/9/2021 10:04,North Carolina,Lake Rebecca,Cash
207,8f9d9cfc,48,180,1,3,6/24/2023 18:10,Illinois,Harrisfurt,Debit Card
208,c95895c8,109,489,8,1,7/31/2025 11:51,Florida,Cathyport,Debit Card
209,82d21e74,141,352,6,2,10/22/2022 7:25,West Virginia,New Benjaminland,Mobile Payment
210,c6b18059,126,130,11,4,5/13/2022 16:40,South Carolina,Jenkinsfurt,Credit Card
211,d5e947fd,14,226,13,3,1/11/2023 23:19,New Jersey,New Meagan,Credit Card
212,17009171,124,9,2,1,11/26/2020 0:04,Hawaii,Rayport,Cash
213,8eb7cd4e,148,192,10,2,9/20/2022 13:02,Missouri,New Brian,Mobile Payment
214,08dd03b1,8,460,8,1,6/5/2020 17:32,Utah,East Catherine,Debit Card
215,a06c09d9,13,302,15,5,11/11/2022 4:38,Ohio,Robertsonfurt,Credit Card
216,e3beedff,76,155,5,1,1/28/2025 17:21,Delaware,West Angelstad,Cash
217,e6ebb881,116,227,12,4,10/22/2021 18:03,Florida,South Rebecca,Cash
218,6952bba0,43,229,14,2,5/23/2023 4:31,Wyoming,New Christopherville,Cash
219,3a386580,107,134,7,3,4/10/2024 10:25,Connecticut,New Anthonychester,Credit Card
220,b37e85bf,50,185,12,2,12/3/2025 14:34,Pennsylvania,Johnsonburgh,Credit Card
221,da24e01d,28,496,11,2,11/12/2020 17:46,Utah,North Tina,Mobile Payment
222,5de4f469,95,464,5,5,7/22/2021 22:54,Louisiana,Dustintown,Debit Card
223,9519ae9f,130,363,13,1,2/3/2025 16:14,Maryland,North Christinabury,Mobile Payment
224,c0aaab0a,115,285,10,3,7/8/2023 10:40,Nebraska,North Taylor,Credit Card
225,627ea155,147,162,4,1,6/9/2025 7:27,New York,Port Lacey,Mobile Payment
226,aa07fbfc,149,13,8,3,10/10/2022 19:03,Montana,East Brianfort,Mobile Payment
227,779a973f,121,170,4,4,6/22/2023 9:10,Missouri,North Victoria,Credit Card
228,6bc81406,25,106,6,1,9/6/2022 9:43,Mississippi,Whitneystad,Debit Card
229,dc4c772a,124,113,14,5,10/19/2021 5:27,Nebraska,Mikaylamouth,Credit Card
230,7.42E+11,23,26,9,4,7/1/2021 23:07,Nebraska,Matthewsport,Cash
231,dccada8a,63,322,15,1,10/27/2024 19:41,Kentucky,Taylorborough,Cash
232,5dbe86fd,1,51,13,5,12/6/2020 11:09,Wisconsin,Cunninghamhaven,Cash
233,f9b3bd41,142,417,9,1,4/6/2024 23:31,Louisiana,Howardmouth,Cash
234,ae1a8ea5,6,164,15,5,7/5/2022 4:01,Ohio,Jasonchester,Cash
235,d2ba07fc,5,445,9,3,8/3/2022 21:18,North Dakota,Edwardston,Debit Card
236,94182086,91,234,2,2,10/29/2024 11:58,Michigan,Briannamouth,Credit Card
237,ad5a194b,117,19,10,1,11/29/2021 21:49,Kentucky,Reyesburgh,Debit Card
238,e0d9de23,96,38,7,5,11/23/2024 7:07,Oklahoma,Donnahaven,Cash
239,1741600d,79,336,12,3,7/20/2024 20:41,West Virginia,North Bonnie,Credit Card
240,88d6cab1,141,239,3,5,10/20/2020 22:11,West Virginia,Oliverborough,Cash
241,ae5931f5,113,162,9,5,8/28/2024 23:41,Louisiana,Gilmoremouth,Debit Card
242,60c50bcc,88,415,9,5,7/23/2023 0:42,West Virginia,Port Tiffany,Cash
243,3c56072b,132,464,10,5,11/9/2021 0:18,Indiana,East Michelleview,Cash
244,2c2ccd2f,48,213,4,3,5/23/2023 19:08,California,Jeffreymouth,Cash
245,6484b2c7,143,41,7,1,10/31/2023 14:12,Maryland,East Jillborough,Cash
246,ae41303f,62,440,12,2,5/1/2025 22:40,Ohio,Meganport,Mobile Payment
247,3bbc6497,148,297,8,4,1/4/2021 2:19,South Carolina,East Allisonfurt,Credit Card
248,3909e5b2,54,52,5,3,6/4/2020 20:04,Massachusetts,Lake Patricialand,Debit Card
249,4df7325c,97,308,9,3,5/30/2025 12:21,Michigan,Juanburgh,Debit Card
250,b49ce5d6,4,257,4,2,10/16/2025 21:18,Colorado,Lake Robertborough,Mobile Payment
251,beaf49ea,86,359,13,5,5/3/2020 15:47,Arizona,Turnerview,Credit Card
252,67aff18d,112,72,10,1,5/27/2021 17:55,Louisiana,North Tammy,Mobile Payment
253,608513ac,16,289,11,1,4/17/2022 10:15,Vermont,Lindseymouth,Credit Card
254,eefd9325,51,66,2,1,5/26/2020 11:36,Wyoming,West Michaelborough,Credit Card
255,a85a1ee1,71,69,11,3,10/12/2023 20:36,Louisiana,Lake Meganview,Credit Card
256,d2f24575,29,451,2,2,12/3/2023 13:21,Iowa,New Chad,Cash
257,6af880cf,110,494,9,5,12/17/2020 14:32,Oregon,Christietown,Cash
258,f4e07d37,60,431,7,2,7/4/2022 1:44,Montana,Port Jasonview,Mobile Payment
259,bf6ed2fc,140,68,15,5,9/17/2022 9:05,South Dakota,East Marcoport,Credit Card
260,85b62efb,115,33,5,2,6/9/2021 3:46,Ohio,Jasonfort,Credit Card
261,5769182e,39,323,8,2,8/16/2025 11:27,New Hampshire,South Debbie,Debit Card
262,e38be3f4,95,323,13,5,10/27/2023 13:42,Alaska,Lisaland,Cash
263,ff0d5051,108,119,8,1,6/23/2023 19:15,Mississippi,Lake Richardtown,Mobile Payment
264,6ac5b9a2,113,403,11,3,5/2/2024 18:33,Delaware,North Ricardo,Cash
265,11f4ab41,62,481,12,5,5/31/2023 7:22,Arizona,Elizabethbury,Mobile Payment
266,9304a662,63,14,10,1,7/29/2020 20:40,Arkansas,Susanfort,Cash
267,9d8f156a,50,269,15,2,11/27/2025 13:25,Colorado,East Ashley,Debit Card
268,cfe8fc80,22,326,15,3,9/26/2021 17:08,North Carolina,New Michael,Debit Card
269,3e8a77cd,124,272,7,5,5/2/2022 17:38,South Dakota,Morrisside,Cash
270,a4cb248c,77,178,7,5,6/12/2023 12:57,Nevada,Amymouth,Debit Card
271,8f5a94f8,23,488,15,1,5/20/2023 12:12,South Dakota,Brianhaven,Credit Card
272,69586d56,74,231,3,5,1/28/2023 7:36,Indiana,Jacksonborough,Credit Card
273,f6b19143,88,52,1,1,6/20/2025 6:32,Florida,Danielmouth,Credit Card
274,cc86c1e9,8,76,3,2,7/8/2020 22:18,Tennessee,Curtistown,Debit Card
275,685a4e67,119,262,9,4,1/30/2021 8:08,Utah,West Ashley,Mobile Payment
276,e78c840f,118,464,7,2,9/19/2025 17:36,Arkansas,North Amber,Credit Card
277,991b7993,1,367,12,2,10/13/2024 12:40,New Jersey,North Markland,Credit Card
278,112f8e28,74,123,11,1,2/21/2023 17:26,Idaho,Odonnellhaven,Debit Card
279,7267aafa,19,353,3,5,12/26/2021 0:57,Georgia,Thomaston,Cash
280,f0b9e39c,18,274,5,5,6/13/2025 3:53,Vermont,Jameston,Debit Card
281,e96ca071,117,17,6,2,9/15/2021 5:16,New Mexico,Johnsonfurt,Cash
282,649e6ddf,109,266,7,5,3/18/2024 2:04,Kansas,North James,Cash
283,6ac268e9,132,178,14,2,4/9/2025 15:41,Alabama,East Andreaport,Cash
284,358c62e8,42,6,1,2,10/3/2025 11:02,Alaska,West Anthonyville,Credit Card
285,88cc7abf,95,165,5,2,2/11/2022 1:24,Montana,Smithport,Debit Card
286,eb45e3f4,113,159,1,4,5/5/2024 6:19,Iowa,Wilsonburgh,Cash
287,d712d9a3,48,276,5,3,8/13/2025 16:07,Washington,South Matthew,Credit Card
288,438a29a3,64,311,6,4,6/20/2024 9:49,Louisiana,South Traviston,Cash
289,3c4fec32,134,302,5,5,1/20/2020 0:23,South Dakota,South Christopher,Mobile Payment
290,835990d2,10,222,15,3,1/2/2020 13:44,Hawaii,East Lindsay,Mobile Payment
291,600db4ba,82,249,9,5,1/23/2022 1:02,Nevada,New Frank,Debit Card
292,632c05b8,72,150,9,4,3/15/2022 15:51,Maine,East Jessica,Mobile Payment
293,bd93ab4b,84,334,4,5,3/15/2021 0:16,Oklahoma,Nunezfurt,Debit Card
294,a578faa0,138,333,10,2,9/26/2024 20:49,Idaho,South Jasminside,Debit Card
295,1c4e2adb,85,440,9,4,9/27/2023 20:20,Alaska,South Johnborough,Mobile Payment
296,36cd4376,53,256,11,1,6/23/2024 2:22,Nevada,Port Debramouth,Debit Card
297,e1e6c065,111,178,7,3,4/5/2020 14:22,Maine,Arroyoberg,Debit Card
298,e670c825,133,307,6,1,11/29/2025 17:34,Connecticut,Barnesland,Mobile Payment
299,b7536769,1,36,3,1,3/18/2020 17:25,Mississippi,West Lisa,Cash
300,e235a4e7,65,243,12,5,4/1/2022 11:12,Mississippi,Ronaldshire,Credit Card
301,4c12901b,79,185,13,3,11/24/2022 12:59,Minnesota,Hartside,Cash
302,3901803e,3,460,7,4,1/17/2025 12:19,Wisconsin,Lake Grant,Credit Card
303,43df80b2,90,316,3,1,12/10/2024 10:02,Washington,East Valerietown,Debit Card
304,ea1edcb4,71,99,11,1,11/25/2023 22:57,Kansas,Sanchezside,Mobile Payment
305,3b48658b,29,405,15,4,7/27/2020 9:42,Arkansas,Ashleyfurt,Credit Card
